FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
ruutuputkisirvikäs;Limnephilus quadratus;Vakiintunut  Hyvin harvinainen;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tunturisirvikäs;Asynarchus impar;Vakiintunut  Hyvin harvinainen;NT (2019);nan;
turasirvikäs;Lenarchus bicornis;Vakiintunut  Harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kaamossirvikäs;Brachypsyche sibirica;Vakiintunut  Hyvin harvinainen;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
hiilikilvekäs;Molanna nigra;Vakiintunut  Hyvin harvinainen;NT (2019);nan;Molanna carbonaria McLachlan  1877
keltasarvekas;Ceraclea riparia;Hyvin harvinainen;NT (2019);nan;
merisarvekas;Triaenodes reuteri;Vakiintunut  Hyvin harvinainen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);Ylodes reuteri (McLachlan  1880)
kymisarvekas;Oecetis tripunctata;Hyvin harvinainen;NT (2019);nan;
lapinkaalikoi;Rhigognostis kuusamoensis;Vakiintunut  Hyvin harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kaislakoi;Orthotelia sparganella;Vakiintunut  Harvinainen;NT (2019);nan;
varjotupsukoi;Mompha terminella;Vakiintunut  Hyvin harvinainen;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
kirjoheinäkoisa;Agriphila biarmicus;Vakiintunut  Yleinen;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Agriphila biarmica
nan;Boletina hyperborea;Vakiintunut;NT (2019);nan;
nan;Boletina kullervoi;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
meriparvekas;Erioptera griseipennis;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
lähdeparvekas;Erioptera pederi;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lähdemutakirsikäs;Molophilus bifidus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
karumutakirsikäs;Molophilus occultus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
nan;Molophilus pullus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
käpykirsikäs;Ormosia loxia;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
immenköyrykäs;Rhabdomastix parva;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
yrttikorpikirsikäs;Rhypholophus varius;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kalkkilähdekirsikäs;Scleroprocta pentagonalis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lapinkirsikäs;Symplecta mabelana;Vakiintunut;NT (2019);nan;
sapelikirsikäs;Symplecta scotica;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nakinhitukirsikäs;Tasiocera fuscescens;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
rosohitukirsikäs;Tasiocera murina;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
lähdetäpläkirsikäs;Eloeophila submarmorata;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
enokirsikäs;Hexatoma fuscipennis;Vakiintunut;NT (2019);nan;
tummahetekirsikäs;Paradelphomyia nigrina;Vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
lettohattara;Dicranomyia aperta;Vakiintunut;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
purohiekkahattara;Dicranomyia omissinervis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
lovihattara;Dicranomyia stylifera;Vakiintunut;NT (2019);nan;
puroliekokirsikäs;Lipsothrix errans;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kuohukirsikäs;Tipula obscuriventris;Vakiintunut;NT (2010);nan;
tievakunttakirsikäs;Tipula subexcisa;Vakiintunut;NT (2019);nan;lapinsaarisääski
rivikirjokirsikäs;Tipula pseudohortensis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Tipula matsumuriana pseudohortensis Lackschewitz  1932
tundrakunttakirsikäs;Tipula balioptera;Vakiintunut;NT (2019);nan;Tipula bo Mannheims  1967
puroharmakirsikäs;Tipula chonsaniana;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kaltioharmakirsikäs;Tipula fendleri;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
karskikirsikäs;Dicranota robusta;Vakiintunut;NT (2019);nan;
morostokirsikäs;Dicranota subtilis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
lähdeasekärpänen;Oxycera dives;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lounaanasekärpänen;Odontomyia angulata;;CR (2019);nan;
isoasekärpänen;Stratiomys singularior;Vakiintunut;NT (2019);nan;Stratiomys furcata Fabricius  1794  Stratiomyia furcata
lettolähdekiiluri;Dolichopus costalis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kolikkokiiluri;Dolichopus planitarsis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kaltiokiiluri;Dolichopus setiger;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
viluhopeakiiluri;Argyra spoliata;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tornilampisurri;Parhelophilus frutetorum;Vakiintunut;VU (2019);nan;
nan;Metacnephia tredecimata;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Trichotanypus mariae;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Arctopelopia melanosoma;Vakiintunut;NT (2019);nan;
nan;Diamesa arctica;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
nan;Diamesa bertrami;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Diamesa hyperborea;Vakiintunut;NT (2019);nan;
nan;Diamesa permacra;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Diamesa serratosioi;Vakiintunut;NT (2019);nan;
nan;Diamesa tonsa;Vakiintunut;NT (2019);nan;Diamesa thienemanni Kieffer  1909
nan;Pseudodiamesa nivosa;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Sympotthastia fulva;Vakiintunut;NT (2019);VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Bryophaenocladius vernalis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Chaetocladius binotatus;Vakiintunut;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Chaetocladius britae;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Chaetocladius crassisaetosus;Vakiintunut;NT (2019);nan;
nan;Chaetocladius maeaeri;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Corynoneura magna;Vakiintunut;NT (2019);nan;
nan;Eurycnemus crassipes;Vakiintunut;NT (2019);nan;
nan;Hydrobaenus fusistylus;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Krenosmittia boreoalpina;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Krenosmittia camptophleps;Vakiintunut;NT (2019);nan;
nan;Limnophyes torulus;Vakiintunut;NT (2019);nan;
nan;Metriocnemus ursinus;Vakiintunut;NT (2019);Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Orthocladius abiskoensis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Stilocladius intermedius;;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Thienemanniella clavicornis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
nan;Tokunagaia scutellata;Vakiintunut;NT (2019);nan;
nan;Vivacricotopus ablusus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Cladopelma goetghebueri;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Cladopelma lateralis (Goetghebuer  1934)
nan;Cryptochironomus denticulatus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
nan;Paracladopelma nereis;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
nan;Tanytarsus gibbosiceps;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Chaoborus nyblaei;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6);
lähdeperhossääski;Ulomyia cognata;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
nan;Threticus tridactilis;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Threticus tridactilus (Kincaid  1899)
keltaperhossääski;Sycorax silacea;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
virtakummitussääski;Ptychoptera lacustris;Vakiintunut;NT (2019);Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
jokirapu;Astacus astacus;Vakiintunut;EN (2019);EU:n luontodirektiivin V-liite  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Astacus fluviatilis Fabricius  1775
kalkkitorvilokotilo;Quickella arenaria;Vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
piikkikotilo;Acanthinula aculeata;Vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;
kalkkisiemenkotilo;Vertigo genesii;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lettosiemenkotilo;Vertigo geyeri;Vakiintunut;NT (2019);Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);Vertigo genesii geyeri
kaksihammaskotilo;Perforatella bidentata;Vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Helix bidens  Perforatella bidens
luhtakiekkokotilo;Anisus leucostoma;Vakiintunut;NT (2019);nan;Anisus septemgyratus (non Rossmassler  1835)
ruskomerietana;Alderia modesta;Vakiintunut;NT (2019);nan;
vuollejokisimpukka;Unio crassus;Vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
jokihelmisimpukka;Margaritifera margaritifera;Vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut elainlajit (LSA 2023/1066  liite 1)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin V-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
syvännehernesimpukka;Pisidium dilatatum;Vakiintunut;NT (2019);nan;Pisidium subtilestriatum Lindholm  1909
jouhiluppoleva;Dictyosiphon chordaria;Vakiintunut;NT (2019);nan;
rakkohauru;Fucus vesiculosus;Vakiintunut;NT (2019);nan;
itämerenhauru;Fucus radicans;Vakiintunut;NT (2019);nan;
tyrskykilpijäkälä;Dermatocarpon polyphyllizum;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Endocarpon polyphyllizum Nyl.
koskityynyjäkälä;Micarea vulpinaris;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Lecidea vulpinaris Nyl.  Micarea muhrii Coppins
jäykkatinajäkälä;Stereocaulon coniophyllum;;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
sinikesijäkälä;Leptogium cyanescens;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Collema tremelloides var. cyanescens Ach.
suomusopulinjäkälä;Leptochidium crenatulum;;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Collema rivulare var. crenatulum Nyl.
piilonännijäkälä;Porina leptalea;;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
kalvaskaihojäkälä;Absconditella delutula;;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo;Lecidea delutula Nyl.  Absconditella modesta (Hegetschw. ex Stizenb.) V?zda
